Brand,Origin,Characteristics,Preparation Method
Caturra,Fazenda Paraíso,Citrusy,French Press
Catuai,Carmo de Minas,Smooth Finish,Italiana
SL28,Fazenda Vista Alegre,Citrusy,Espresso
SL34,Fazenda Monte Verde,Citrusy,Hario V60
Pacamara,Fazenda Boa Esperança,Spicy,Clever
Gesha,Varginha,Fruity,French Press
Maragogipe,Araguari,Sweet Aftertaste,Italiana
Mundo Novo,Fazenda Vista Alegre,Bright Acidity,Espresso
Yellow Bourbon,Poços de Caldas,Sweet Aftertaste,Hario V60
Red Bourbon,Três Pontas,Rich Flavor,Clever
Ethiopian Heirloom,Fazenda Boa Esperança,Fruity,French Press
Villalobos,Lavras,Smooth Finish,Italiana
Java,Guaxupé,Sweet Aftertaste,Espresso
Blue Mountain,Poços de Caldas,Sweet Aftertaste,Hario V60
Kona,Poços de Caldas,Spicy,Clever
Typica,Fazenda Boa Esperança,Floral,French Press
Bourbon,Fazenda Boa Esperança,Earthy,Italiana
Caturra,Patrocínio,Nutty,Espresso
Catuai,Fazenda Serrinha,Caramel,Hario V60
SL28,São Sebastião do Paraíso,Rich Flavor,Clever
SL34,São Sebastião do Paraíso,Caramel,French Press
Pacamara,Fazenda Santa Clara,Smokey,Italiana
Gesha,Santa Rita do Sapucaí,Bright Acidity,Espresso
Maragogipe,Três Pontas,Smooth Finish,Hario V60
Mundo Novo,Fazenda Paraíso,Fruity,Clever
Yellow Bourbon,Carmo de Minas,Nutty,French Press
Red Bourbon,Lavras,Floral,Italiana
Ethiopian Heirloom,Varginha,Bright Acidity,Espresso
Villalobos,Poços de Caldas,Sweet Aftertaste,Hario V60
Java,Fazenda Santa Clara,Earthy,Clever
Blue Mountain,Santa Rita do Sapucaí,Bright Acidity,French Press
Kona,Itamogi,Spicy,Italiana
Typica,Fazenda Monte Verde,Full Body,Espresso
Bourbon,São Sebastião do Paraíso,Citrusy,Hario V60
Caturra,Carmo de Minas,Chocolatey,Clever
Catuai,Fazenda Boa Esperança,Smokey,French Press
SL28,Varginha,Chocolatey,Italiana
SL34,Fazenda Primavera,Caramel,Espresso
Pacamara,Carmo de Minas,Bright Acidity,Hario V60
Gesha,Fazenda Boa Esperança,Fruity,Clever
Maragogipe,Lavras,Floral,French Press
Mundo Novo,Lavras,Floral,Italiana
Yellow Bourbon,Fazenda Serrinha,Caramel,Espresso
Red Bourbon,Fazenda Serrinha,Smokey,Hario V60
Ethiopian Heirloom,São Sebastião do Paraíso,Caramel,Clever
Villalobos,Lavras,Citrusy,French Press
Java,Fazenda Boa Esperança,Fruity,Italiana
Blue Mountain,Fazenda Primavera,Balanced,Espresso
Kona,Fazenda Paraíso,Bright Acidity,Hario V60
Typica,Itamogi,Rich Flavor,Clever
Bourbon,Fazenda Santa Clara,Rich Flavor,French Press
Caturra,Lavras,Smooth Finish,Italiana
Catuai,Araguari,Balanced,Espresso
SL28,Lavras,Balanced,Hario V60
SL34,Fazenda Monte Verde,Floral,Clever
Pacamara,Guaxupé,Caramel,French Press
Gesha,Carmo de Minas,Citrusy,Italiana
Maragogipe,Carmo de Minas,Caramel,Espresso
Mundo Novo,Fazenda Monte Verde,Full Body,Hario V60
Yellow Bourbon,Varginha,Full Body,Clever
Red Bourbon,Santa Rita do Sapucaí,Balanced,French Press
Ethiopian Heirloom,Fazenda Vista Alegre,Sweet Aftertaste,Italiana
Villalobos,Varginha,Spicy,Espresso
Java,Fazenda Santa Clara,Nutty,Hario V60
Blue Mountain,Fazenda Santa Clara,Earthy,Clever
Kona,Fazenda Paraíso,Smooth Finish,French Press
Typica,Itamogi,Sweet Aftertaste,Italiana
Bourbon,Fazenda Vista Alegre,Fruity,Espresso
Caturra,Fazenda Vista Alegre,Smokey,Hario V60
Catuai,Patrocínio,Rich Flavor,Clever
SL28,Três Pontas,Citrusy,French Press
SL34,Poços de Caldas,Sweet Aftertaste,Italiana
Pacamara,Varginha,Floral,Espresso
Gesha,Fazenda Primavera,Floral,Hario V60
Maragogipe,Lavras,Earthy,Clever
Mundo Novo,Itamogi,Full Body,French Press
Yellow Bourbon,Araguari,Caramel,Italiana
Red Bourbon,Fazenda Primavera,Floral,Espresso
Ethiopian Heirloom,Patrocínio,Smooth Finish,Hario V60
Villalobos,Fazenda São Luiz,Citrusy,Clever
Java,Fazenda Vista Alegre,Sweet Aftertaste,French Press
Blue Mountain,Fazenda Monte Verde,Caramel,Italiana
Kona,Fazenda Boa Esperança,Smooth Finish,Espresso
Typica,Fazenda Vista Alegre,Caramel,Hario V60
Bourbon,Santa Rita do Sapucaí,Citrusy,Clever
Caturra,Fazenda Boa Esperança,Smooth Finish,French Press
Catuai,Três Pontas,Nutty,Italiana
SL28,Serra Negra,Bright Acidity,Espresso
SL34,São Sebastião do Paraíso,Chocolatey,Hario V60
Pacamara,Guaxupé,Citrusy,Clever
Gesha,Fazenda Vista Alegre,Rich Flavor,French Press
Maragogipe,Fazenda Paraíso,Nutty,Italiana
Mundo Novo,Três Pontas,Sweet Aftertaste,Espresso
Yellow Bourbon,Fazenda Primavera,Balanced,Hario V60
Red Bourbon,Fazenda Santa Clara,Rich Flavor,Clever
Ethiopian Heirloom,Lavras,Chocolatey,French Press
Villalobos,Lavras,Full Body,Italiana
Java,Fazenda Monte Verde,Bright Acidity,Espresso
Blue Mountain,Fazenda Serrinha,Balanced,Hario V60
Kona,Varginha,Sweet Aftertaste,Clever
Typica,Fazenda Boa Esperança,Fruity,French Press
Bourbon,Varginha,Bright Acidity,Italiana
Caturra,Fazenda Monte Verde,Floral,Espresso
Catuai,São Sebastião do Paraíso,Caramel,Hario V60
SL28,Serra Negra,Earthy,Clever
SL34,Araguari,Balanced,French Press
Pacamara,Fazenda Santa Clara,Smooth Finish,Italiana
Gesha,Serra Negra,Sweet Aftertaste,Espresso
Maragogipe,Fazenda São Luiz,Bright Acidity,Hario V60
Mundo Novo,Carmo de Minas,Smooth Finish,Clever
Yellow Bourbon,Carmo de Minas,Earthy,French Press
Red Bourbon,Fazenda Vista Alegre,Full Body,Italiana
Ethiopian Heirloom,Fazenda Santa Clara,Chocolatey,Espresso
Villalobos,Santa Rita do Sapucaí,Nutty,Hario V60
Java,Três Pontas,Bright Acidity,Clever
Blue Mountain,Araguari,Caramel,French Press
Kona,Santa Rita do Sapucaí,Bright Acidity,Italiana
Typica,Itamogi,Citrusy,Espresso
Bourbon,Fazenda Boa Esperança,Nutty,Hario V60
Caturra,Lavras,Bright Acidity,Clever
Catuai,Fazenda Santa Clara,Rich Flavor,French Press
SL28,Santa Rita do Sapucaí,Spicy,Italiana
SL34,Fazenda Paraíso,Citrusy,Espresso
Pacamara,São Sebastião do Paraíso,Bright Acidity,Hario V60
Gesha,Fazenda Boa Esperança,Balanced,Clever
Maragogipe,Patrocínio,Caramel,French Press
Mundo Novo,Fazenda Paraíso,Earthy,Italiana
Yellow Bourbon,Fazenda Primavera,Earthy,Espresso
Red Bourbon,Fazenda Vista Alegre,Smokey,Hario V60
Ethiopian Heirloom,Santa Rita do Sapucaí,Chocolatey,Clever
Villalobos,Carmo de Minas,Fruity,French Press
Java,Três Pontas,Nutty,Italiana
Blue Mountain,Fazenda Serrinha,Full Body,Espresso
Kona,Varginha,Full Body,Hario V60
Typica,Fazenda Monte Verde,Spicy,Clever
Bourbon,Poços de Caldas,Smokey,French Press
Caturra,Fazenda Boa Esperança,Fruity,Italiana
Catuai,São Sebastião do Paraíso,Floral,Espresso
SL28,Fazenda Boa Esperança,Spicy,Hario V60
SL34,Fazenda Serrinha,Citrusy,Clever
Pacamara,Fazenda São Luiz,Balanced,French Press
Gesha,Fazenda Vista Alegre,Spicy,Italiana
Maragogipe,Fazenda Monte Verde,Fruity,Espresso
Mundo Novo,Três Pontas,Fruity,Hario V60
Yellow Bourbon,Patrocínio,Earthy,Clever
Red Bourbon,Fazenda Paraíso,Balanced,French Press
Ethiopian Heirloom,Fazenda Primavera,Fruity,Italiana
Villalobos,Poços de Caldas,Smooth Finish,Espresso
Java,Lavras,Floral,Hario V60
Blue Mountain,Fazenda Santa Clara,Rich Flavor,Clever
Kona,Patrocínio,Full Body,French Press
Typica,Fazenda Primavera,Caramel,Italiana
Bourbon,Fazenda São Luiz,Fruity,Espresso
Caturra,Fazenda Santa Clara,Earthy,Hario V60
Catuai,Fazenda Monte Verde,Sweet Aftertaste,Clever
SL28,Fazenda Primavera,Spicy,French Press
SL34,São Sebastião do Paraíso,Floral,Italiana
Pacamara,Patrocínio,Citrusy,Espresso
Gesha,Fazenda Boa Esperança,Nutty,Hario V60
Maragogipe,Fazenda Primavera,Rich Flavor,Clever
Mundo Novo,Fazenda Monte Verde,Smooth Finish,French Press
Yellow Bourbon,Varginha,Fruity,Italiana
Red Bourbon,Fazenda Boa Esperança,Full Body,Espresso
Ethiopian Heirloom,Fazenda Serrinha,Bright Acidity,Hario V60
Villalobos,Lavras,Full Body,Clever
Java,Fazenda Primavera,Bright Acidity,French Press
Blue Mountain,Fazenda São Luiz,Floral,Italiana
Kona,Araguari,Nutty,Espresso
Typica,Fazenda São Luiz,Spicy,Hario V60
Bourbon,Fazenda Vista Alegre,Sweet Aftertaste,Clever
Caturra,Fazenda Paraíso,Caramel,French Press
Catuai,Araguari,Rich Flavor,Italiana
SL28,Fazenda Monte Verde,Spicy,Espresso
SL34,São Sebastião do Paraíso,Citrusy,Hario V60
Pacamara,Serra Negra,Bright Acidity,Clever
Gesha,Patrocínio,Full Body,French Press
Maragogipe,Fazenda Primavera,Nutty,Italiana
Mundo Novo,Lavras,Earthy,Espresso
Yellow Bourbon,Carmo de Minas,Caramel,Hario V60
Red Bourbon,Fazenda Boa Esperança,Bright Acidity,Clever
Ethiopian Heirloom,Serra Negra,Balanced,French Press
Villalobos,Fazenda São Luiz,Floral,Italiana
Java,Fazenda Monte Verde,Caramel,Espresso
Blue Mountain,Poços de Caldas,Bright Acidity,Hario V60
Kona,Poços de Caldas,Rich Flavor,Clever
Typica,Serra Negra,Smooth Finish,French Press
Bourbon,Fazenda Santa Clara,Fruity,Italiana
Caturra,Carmo de Minas,Bright Acidity,Espresso
Catuai,Serra Negra,Caramel,Hario V60
SL28,Varginha,Floral,Clever
SL34,Fazenda Paraíso,Spicy,French Press
Pacamara,Poços de Caldas,Balanced,Italiana
Gesha,Fazenda Paraíso,Balanced,Espresso
Maragogipe,Fazenda Santa Clara,Nutty,Hario V60
Mundo Novo,Fazenda Paraíso,Sweet Aftertaste,Clever
Yellow Bourbon,São Sebastião do Paraíso,Spicy,French Press
Red Bourbon,Guaxupé,Citrusy,Italiana
Ethiopian Heirloom,Fazenda Boa Esperança,Spicy,Espresso
Villalobos,Lavras,Fruity,Hario V60
Java,Fazenda Serrinha,Caramel,Clever
Blue Mountain,Fazenda Paraíso,Bright Acidity,French Press
Kona,Fazenda Boa Esperança,Sweet Aftertaste,Italiana
Typica,Fazenda Vista Alegre,Smokey,Espresso
Bourbon,São Sebastião do Paraíso,Chocolatey,Hario V60
Caturra,Poços de Caldas,Nutty,Clever
Catuai,Fazenda Primavera,Smokey,French Press
SL28,Fazenda Boa Esperança,Rich Flavor,Italiana
SL34,Fazenda Serrinha,Smokey,Espresso
Pacamara,Fazenda Serrinha,Floral,Hario V60
Gesha,São Sebastião do Paraíso,Balanced,Clever
Maragogipe,Fazenda Monte Verde,Sweet Aftertaste,French Press
Mundo Novo,Fazenda Boa Esperança,Fruity,Italiana
Yellow Bourbon,Varginha,Spicy,Espresso
Red Bourbon,Fazenda Vista Alegre,Floral,Hario V60
Ethiopian Heirloom,Fazenda Paraíso,Floral,Clever
Villalobos,Lavras,Nutty,French Press
Java,Varginha,Caramel,Italiana
Blue Mountain,Poços de Caldas,Chocolatey,Espresso
Kona,Serra Negra,Chocolatey,Hario V60
Typica,Varginha,Fruity,Clever
Bourbon,Santa Rita do Sapucaí,Fruity,French Press
Caturra,Araguari,Floral,Italiana
Catuai,Fazenda Primavera,Sweet Aftertaste,Espresso
SL28,Araguari,Chocolatey,Hario V60
SL34,Varginha,Chocolatey,Clever
Pacamara,Três Pontas,Smokey,French Press
Gesha,Santa Rita do Sapucaí,Smooth Finish,Italiana
Maragogipe,Fazenda Boa Esperança,Caramel,Espresso
Mundo Novo,Araguari,Rich Flavor,Hario V60
Yellow Bourbon,Varginha,Smokey,Clever
Red Bourbon,Patrocínio,Floral,French Press
Ethiopian Heirloom,Patrocínio,Sweet Aftertaste,Italiana
Villalobos,Guaxupé,Caramel,Espresso
Java,Patrocínio,Balanced,Hario V60
Blue Mountain,Santa Rita do Sapucaí,Earthy,Clever
Kona,Carmo de Minas,Sweet Aftertaste,French Press
Typica,Serra Negra,Nutty,Italiana
Bourbon,Fazenda Monte Verde,Full Body,Espresso
Caturra,Fazenda São Luiz,Smooth Finish,Hario V60
Catuai,Itamogi,Balanced,Clever
SL28,Fazenda Primavera,Floral,French Press
SL34,Fazenda Santa Clara,Full Body,Italiana
Pacamara,Fazenda São Luiz,Earthy,Espresso
Gesha,Araguari,Smooth Finish,Hario V60
Maragogipe,São Sebastião do Paraíso,Spicy,Clever
Mundo Novo,Fazenda São Luiz,Spicy,French Press
Yellow Bourbon,Fazenda Paraíso,Chocolatey,Italiana
Red Bourbon,Poços de Caldas,Bright Acidity,Espresso
Ethiopian Heirloom,Serra Negra,Fruity,Hario V60
Villalobos,Fazenda São Luiz,Fruity,Clever
Java,Três Pontas,Full Body,French Press
Blue Mountain,Patrocínio,Nutty,Italiana
Kona,Poços de Caldas,Balanced,Espresso
Typica,Guaxupé,Smokey,Hario V60
Bourbon,Fazenda Vista Alegre,Smooth Finish,Clever
Caturra,Poços de Caldas,Chocolatey,French Press
Catuai,Araguari,Bright Acidity,Italiana
SL28,Fazenda Serrinha,Smokey,Espresso
SL34,Fazenda Paraíso,Balanced,Hario V60
Pacamara,Patrocínio,Balanced,Clever
Gesha,Patrocínio,Spicy,French Press
Maragogipe,Lavras,Smooth Finish,Italiana
Mundo Novo,Fazenda Paraíso,Chocolatey,Espresso
Yellow Bourbon,Santa Rita do Sapucaí,Full Body,Hario V60
Red Bourbon,Itamogi,Rich Flavor,Clever
Ethiopian Heirloom,Carmo de Minas,Nutty,French Press
Villalobos,Três Pontas,Spicy,Italiana
Java,Patrocínio,Earthy,Espresso
Blue Mountain,Guaxupé,Full Body,Hario V60
Kona,São Sebastião do Paraíso,Full Body,Clever
Typica,Fazenda Paraíso,Citrusy,French Press
Bourbon,Lavras,Smooth Finish,Italiana
Caturra,Fazenda São Luiz,Balanced,Espresso
Catuai,Araguari,Citrusy,Hario V60
SL28,São Sebastião do Paraíso,Sweet Aftertaste,Clever
SL34,Três Pontas,Full Body,French Press
Pacamara,Fazenda Paraíso,Fruity,Italiana
Gesha,Patrocínio,Bright Acidity,Espresso
Maragogipe,Patrocínio,Caramel,Hario V60
Mundo Novo,Fazenda Paraíso,Full Body,Clever
Yellow Bourbon,Fazenda Serrinha,Fruity,French Press
Red Bourbon,Itamogi,Balanced,Italiana
Ethiopian Heirloom,Guaxupé,Balanced,Espresso
Villalobos,Fazenda São Luiz,Chocolatey,Hario V60
Java,Guaxupé,Citrusy,Clever
Blue Mountain,Lavras,Floral,French Press
Kona,Fazenda Santa Clara,Full Body,Italiana
Typica,Fazenda Serrinha,Rich Flavor,Espresso
Bourbon,Poços de Caldas,Smooth Finish,Hario V60
Caturra,Guaxupé,Caramel,Clever
Catuai,Santa Rita do Sapucaí,Smokey,French Press
SL28,Patrocínio,Bright Acidity,Italiana
SL34,Três Pontas,Citrusy,Espresso
Pacamara,Itamogi,Smokey,Hario V60
Gesha,Guaxupé,Fruity,Clever
Maragogipe,Araguari,Smokey,French Press
Mundo Novo,Guaxupé,Smokey,Italiana
Yellow Bourbon,Fazenda Serrinha,Sweet Aftertaste,Espresso
Red Bourbon,Fazenda Boa Esperança,Floral,Hario V60
Ethiopian Heirloom,Patrocínio,Full Body,Clever
Villalobos,Fazenda Paraíso,Floral,French Press
Java,Fazenda Primavera,Floral,Italiana
Blue Mountain,Araguari,Smooth Finish,Espresso
Kona,Fazenda São Luiz,Nutty,Hario V60
Typica,Fazenda Vista Alegre,Full Body,Clever
Bourbon,Fazenda Vista Alegre,Sweet Aftertaste,French Press
Caturra,Três Pontas,Full Body,Italiana
Catuai,Patrocínio,Smokey,Espresso
SL28,Itamogi,Spicy,Hario V60
SL34,Fazenda São Luiz,Rich Flavor,Clever
Pacamara,Fazenda Monte Verde,Nutty,French Press
Gesha,Lavras,Caramel,Italiana
Maragogipe,Itamogi,Fruity,Espresso
Mundo Novo,São Sebastião do Paraíso,Citrusy,Hario V60
Yellow Bourbon,Guaxupé,Earthy,Clever
Red Bourbon,Varginha,Citrusy,French Press
Ethiopian Heirloom,São Sebastião do Paraíso,Nutty,Italiana
Villalobos,Lavras,Balanced,Espresso
Java,Lavras,Nutty,Hario V60
Blue Mountain,Fazenda Primavera,Floral,Clever
Kona,São Sebastião do Paraíso,Spicy,French Press
Typica,Carmo de Minas,Spicy,Italiana
Bourbon,Guaxupé,Earthy,Espresso
Caturra,Fazenda Primavera,Chocolatey,Hario V60
Catuai,Guaxupé,Caramel,Clever
SL28,Fazenda São Luiz,Smooth Finish,French Press
SL34,Santa Rita do Sapucaí,Nutty,Italiana
Pacamara,Fazenda Santa Clara,Fruity,Espresso
Gesha,Fazenda Serrinha,Balanced,Hario V60
Maragogipe,Guaxupé,Balanced,Clever
Mundo Novo,Fazenda Santa Clara,Fruity,French Press
Yellow Bourbon,Fazenda São Luiz,Smooth Finish,Italiana
Red Bourbon,Itamogi,Spicy,Espresso
Ethiopian Heirloom,Patrocínio,Rich Flavor,Hario V60
Villalobos,Fazenda Santa Clara,Earthy,Clever
Java,Serra Negra,Full Body,French Press
Blue Mountain,Fazenda Serrinha,Smooth Finish,Italiana
Kona,Fazenda Paraíso,Citrusy,Espresso
Typica,Serra Negra,Bright Acidity,Hario V60
Bourbon,Fazenda Paraíso,Chocolatey,Clever
Caturra,Lavras,Sweet Aftertaste,French Press
Catuai,Araguari,Citrusy,Italiana
SL28,Fazenda Vista Alegre,Bright Acidity,Espresso
SL34,Fazenda Paraíso,Caramel,Hario V60
Pacamara,Carmo de Minas,Nutty,Clever
Gesha,Fazenda Vista Alegre,Balanced,French Press
Maragogipe,Guaxupé,Full Body,Italiana
Mundo Novo,Três Pontas,Spicy,Espresso
Yellow Bourbon,Varginha,Caramel,Hario V60
Red Bourbon,Fazenda Primavera,Bright Acidity,Clever
Ethiopian Heirloom,Fazenda Paraíso,Sweet Aftertaste,French Press
Villalobos,Serra Negra,Citrusy,Italiana
Java,Fazenda São Luiz,Floral,Espresso
Blue Mountain,Fazenda Santa Clara,Caramel,Hario V60
Kona,Guaxupé,Nutty,Clever
Typica,Carmo de Minas,Full Body,French Press
Bourbon,Fazenda Serrinha,Spicy,Italiana
Caturra,Serra Negra,Spicy,Espresso
Catuai,Patrocínio,Earthy,Hario V60
SL28,Fazenda Serrinha,Smokey,Clever
SL34,Poços de Caldas,Bright Acidity,French Press
Pacamara,Itamogi,Sweet Aftertaste,Italiana
Gesha,Fazenda Vista Alegre,Smooth Finish,Espresso
Maragogipe,São Sebastião do Paraíso,Smokey,Hario V60
Mundo Novo,Serra Negra,Fruity,Clever
Yellow Bourbon,Guaxupé,Full Body,French Press
Red Bourbon,Fazenda Paraíso,Smooth Finish,Italiana
Ethiopian Heirloom,Três Pontas,Smokey,Espresso
Villalobos,Guaxupé,Spicy,Hario V60
Java,Três Pontas,Nutty,Clever
Blue Mountain,Fazenda São Luiz,Citrusy,French Press
Kona,Poços de Caldas,Fruity,Italiana
Typica,Serra Negra,Earthy,Espresso
Bourbon,Fazenda São Luiz,Sweet Aftertaste,Hario V60
Caturra,Varginha,Full Body,Clever
Catuai,Serra Negra,Citrusy,French Press
SL28,Santa Rita do Sapucaí,Smokey,Italiana
SL34,Lavras,Earthy,Espresso
Pacamara,Araguari,Caramel,Hario V60
Gesha,Fazenda Santa Clara,Nutty,Clever
Maragogipe,Três Pontas,Full Body,French Press
Mundo Novo,Três Pontas,Chocolatey,Italiana
Yellow Bourbon,Araguari,Fruity,Espresso
Red Bourbon,Patrocínio,Smooth Finish,Hario V60
Ethiopian Heirloom,Fazenda São Luiz,Citrusy,Clever
Villalobos,Varginha,Balanced,French Press
Java,Fazenda Primavera,Fruity,Italiana
Blue Mountain,Carmo de Minas,Bright Acidity,Espresso
Kona,Fazenda Serrinha,Earthy,Hario V60
Typica,Carmo de Minas,Balanced,Clever
Bourbon,Fazenda São Luiz,Smooth Finish,French Press
Caturra,Itamogi,Smokey,Italiana
Catuai,Fazenda Serrinha,Bright Acidity,Espresso
SL28,Santa Rita do Sapucaí,Rich Flavor,Hario V60
SL34,Fazenda Serrinha,Floral,Clever
Pacamara,Fazenda Boa Esperança,Full Body,French Press
Gesha,Poços de Caldas,Earthy,Italiana
Maragogipe,Poços de Caldas,Earthy,Espresso
Mundo Novo,Fazenda Santa Clara,Sweet Aftertaste,Hario V60
Yellow Bourbon,Fazenda Paraíso,Fruity,Clever
Red Bourbon,Fazenda Vista Alegre,Nutty,French Press
Ethiopian Heirloom,Carmo de Minas,Fruity,Italiana
Villalobos,Carmo de Minas,Sweet Aftertaste,Espresso
Java,Patrocínio,Sweet Aftertaste,Hario V60
Blue Mountain,Fazenda Serrinha,Spicy,Clever
Kona,São Sebastião do Paraíso,Fruity,French Press
Typica,Santa Rita do Sapucaí,Full Body,Italiana
Bourbon,Varginha,Floral,Espresso
Caturra,Patrocínio,Smokey,Hario V60
Catuai,Itamogi,Fruity,Clever
SL28,Araguari,Nutty,French Press
SL34,Fazenda Santa Clara,Citrusy,Italiana
Pacamara,Carmo de Minas,Smooth Finish,Espresso
Gesha,Fazenda Vista Alegre,Spicy,Hario V60
Maragogipe,Fazenda Serrinha,Floral,Clever
Mundo Novo,Fazenda São Luiz,Citrusy,French Press
Yellow Bourbon,Fazenda Vista Alegre,Spicy,Italiana
Red Bourbon,Três Pontas,Chocolatey,Espresso
Ethiopian Heirloom,Lavras,Nutty,Hario V60
Villalobos,Fazenda Paraíso,Smooth Finish,Clever
Java,Varginha,Smokey,French Press
Blue Mountain,Fazenda Serrinha,Spicy,Italiana
Kona,São Sebastião do Paraíso,Earthy,Espresso
Typica,Fazenda Serrinha,Rich Flavor,Hario V60
Bourbon,Fazenda Paraíso,Smokey,Clever
Caturra,Patrocínio,Fruity,French Press
Catuai,Poços de Caldas,Earthy,Italiana
SL28,Fazenda Paraíso,Sweet Aftertaste,Espresso
SL34,Carmo de Minas,Citrusy,Hario V60
Pacamara,Guaxupé,Earthy,Clever
Gesha,Fazenda Paraíso,Smokey,French Press
Maragogipe,Varginha,Citrusy,Italiana
Mundo Novo,Patrocínio,Balanced,Espresso
Yellow Bourbon,Fazenda Vista Alegre,Earthy,Hario V60
Red Bourbon,Fazenda Serrinha,Bright Acidity,Clever
Ethiopian Heirloom,Fazenda Vista Alegre,Full Body,French Press
Villalobos,Fazenda Monte Verde,Citrusy,Italiana
Java,Carmo de Minas,Smokey,Espresso
Blue Mountain,Fazenda Primavera,Bright Acidity,Hario V60
Kona,Três Pontas,Bright Acidity,Clever
Typica,Santa Rita do Sapucaí,Rich Flavor,French Press
Bourbon,Araguari,Spicy,Italiana
Caturra,Lavras,Balanced,Espresso
Catuai,Varginha,Bright Acidity,Hario V60
SL28,Fazenda Santa Clara,Smooth Finish,Clever
SL34,Poços de Caldas,Balanced,French Press
Pacamara,Fazenda Boa Esperança,Earthy,Italiana
Gesha,Varginha,Bright Acidity,Espresso
Maragogipe,Fazenda Monte Verde,Smokey,Hario V60
Mundo Novo,Fazenda Vista Alegre,Smokey,Clever
Yellow Bourbon,Fazenda Boa Esperança,Nutty,French Press
Red Bourbon,Três Pontas,Spicy,Italiana
Ethiopian Heirloom,Serra Negra,Fruity,Espresso
Villalobos,São Sebastião do Paraíso,Balanced,Hario V60
Java,Varginha,Smokey,Clever
Blue Mountain,Santa Rita do Sapucaí,Chocolatey,French Press
Kona,Poços de Caldas,Rich Flavor,Italiana
Typica,Fazenda Paraíso,Fruity,Espresso
Bourbon,Fazenda Vista Alegre,Smokey,Hario V60
Caturra,Poços de Caldas,Caramel,Clever
Catuai,Guaxupé,Citrusy,French Press
SL28,Guaxupé,Floral,Italiana
SL34,Fazenda Monte Verde,Full Body,Espresso
Pacamara,Fazenda Primavera,Caramel,Hario V60
Gesha,Fazenda Boa Esperança,Earthy,Clever
